Place;Country;Reason;Latitude;Longitude
Lomza;PL;Travel;53.176389;22.073056
Bauska;LV;Travel;56.408333;24.193056
Laagri;EST;Travel;59.351111;24.618056
Vantaa;FIN;Living;60.294444;25.040278
Espoo;FIN;Living;60.205556;24.655556
Parnu;EST;Travel;58.383333;24.5000
Suwalki;PL;Travel;54.101111;22.9325
Wroclaw;PL;Living;51.11;17.0325
Kaunas;LT;Travel;54.897222;23.886111
Torronsuo National Park;FIN;Hiking;60.733333;23.616667
Nuuksio National Park;FIN;Hiking;60.3075;24.499167
Porvoo;FIN;Hiking;60.394444;25.663889
Riga;LV;Travel;56.948889;24.106389
Krapkowice;PL;Living;50.474722;17.967222
Walbrzych;PL;Living;50.770833;16.273889
Turku;FIN;Living;60.45;22.266667
Tampere;FIN;Living;61.498056;23.76
Helsinki;FIN;Living;60.170833;24.9375
Liesjarvi National Park;FIN;Hiking;60.680556;23.858333
Kaitalampi;FIN;Hiking;60.3196405;24.6619311
